method,episode,step,reward,ttc_min,thw_min,drac_max,risk_score,raw_action,final_action,chosen_source
masked_merge,0,40,0.7825358390679397,9.105271391492602,1.1401820913107816,0.2671515667186189,0.9867597435010381,2,2,rl
masked_merge,0,41,0.7736356134492423,8.39511913327115,1.141305810269899,0.30720577114982084,1.0193917780048862,2,2,rl
masked_merge,0,42,0.7668086229543698,7.908380507418035,1.1422935902978983,0.33782795516183023,1.0444902586293632,2,2,rl
masked_merge,0,43,0.7616730424730236,7.556187678535861,1.1431624534718294,0.36062461768794507,1.0635296868209285,2,2,rl
masked_merge,0,44,0.7579126622161891,7.291511241120403,1.1439271778899105,0.3769928709836028,1.0776867196693865,2,2,rl
masked_merge,0,45,0.7552692229640168,7.087037778501307,1.1446006140120535,0.38810668540247584,1.0879004384046198,2,2,rl
masked_merge,0,46,0.7535320507172039,6.925752873903903,1.145193953047307,0.3949414090758399,1.0949251042677968,2,2,rl
masked_merge,0,47,0.7525286581387367,6.796453203437425,1.1457169551107238,0.3983055441877068,1.0993716313829998,2,2,rl
masked_merge,0,48,0.7421170617043342,6.691416543758034,1.1461781435903862,0.3988702648176238,1.1017391271924049,2,2,rl
masked_merge,0,49,0.7521797275835859,6.605108114603156,1.146584971092902,0.3971942840186291,1.1024386751967232,2,2,rl
masked_merge,0,50,0.7526188592359796,6.533422547994794,1.1469439614411692,0.3937440337696394,1.1018112976800913,2,2,rl
