method,seed,episode,reward,collision,success,avg_speed,episode_length,lane_change_count,ttc_min,thw_min,drac_max,risk_exposure,risk_score_max,near_miss_count,target_gap_size,target_rear_distance,target_rear_relative_speed,p_yield,p_block,collision_flag
official_sb3_dqn_highway_fast_steps100000_seed0,0,11,29.075040725785303,0,1,29.974723538704584,30,10,0.04725035413428505,0.0015586137764308356,111.46268669093865,229.58386822754093,24.02625456516119,30,126.28195419313343,24.00664277142751,-18.252705375130553,0.9999830226757954,1.6977324204751434e-05,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,12,28.27569117606007,0,1,29.474781129685066,30,8,0.04013727080252743,0.014061307173225639,130.92460655329907,254.11873222738288,24.0300155280355,30,104.87965631021727,26.689297460251616,-14.309777015821451,0.9999809651565145,1.9034843485650952e-05,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,13,28.842355460604843,0,1,29.14139020537125,30,8,0.17327342990099284,0.024434673938623894,23.144564303757523,235.90964153118352,19.786225285790564,30,148.94205118004194,16.79611046189157,-20.706186980164023,0.9999979252440796,2.0747559205114285e-06,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,14,28.676525966948326,0,1,28.974723539044476,30,6,0.03661586454399148,0.006591662142179782,66.10743790575802,222.73598418759664,24.022517374129688,30,160.43472575685325,12.624465603055448,-21.83890940330144,0.9999974051438918,2.594856108273369e-06,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,15,21.62828655475818,1,0,26.513959699943847,25,7,0.0011408205019547068,0.0003426592226811744,3851.2010729794742,208.8074381367917,24.033752503706427,25,141.7119124788122,17.74478535134214,-18.348540726483815,0.9997214054616227,0.00027859453837737915,1
official_sb3_dqn_highway_fast_steps100000_seed0,0,16,28.809999695392563,0,1,29.64182093652464,30,7,0.08487371780799288,0.028360923865925078,59.0561567010872,249.54934596092727,24.026251406548546,30,130.17535597338812,17.297496680879007,-19.2329836336047,0.9999935636987114,6.4363012885815255e-06,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,17,28.297863589031593,0,1,29.002832534432642,30,9,0.10212045724683226,0.0343586054941022,49.41983448512905,222.19139120624527,23.814857483750973,29,125.97648464989203,25.847042694520564,-16.5032169982481,0.9999870687252783,1.2931274721890892e-05,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,18,25.64739789036966,0,1,25.145157108057404,30,5,0.10791972716826854,0.00028294736536098206,44.6402389376274,205.51508113466235,22.602635120390538,30,164.8609306538911,7.804642499286109,-18.270093277227,0.9999996514629772,3.485370228872853e-07,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,19,25.712378622717374,0,1,24.80849533636679,30,2,0.02545868710713792,0.005423617881968979,106.95032641518435,226.55190754073627,24.02250000000155,30,188.60547548487162,3.6064849491076907,-22.69183935019948,0.9999996937430001,3.0625700005633877e-07,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,20,11.06353168329652,1,0,29.575011864595822,12,1,0.15406086081197978,0.049913837655897346,31.54478565899927,110.83166770922489,20.51719148370901,12,162.57995451408584,3.9980907602364226,-24.656919904066665,0.9999853462973203,1.465370267970482e-05,1
